,brand,category,id,name,price
133,St. Bernardus,Tripel,192793STK,St. Bernardus Abbey Ale Tripel Fles 33cl,1.87
134,Desperados,Mexicaans bier,89333BLK,Desperados Original Bier Blik 50cl,2.06
135,Alfa,Bockbier,54517PAK,Alfa Herfstbok 6 x 30cl,5.22
136,Keizer Karel,Dubbel,213479FLS,Keizer Karel Robijn Rood Fles 33cl,1.95
137,Brugse Zot,Dubbel,207545FLS,Brugse Zot Dubbel Belgisch Bier Fles 330ml,1.79
138,HertenHeer,Blond,232492FLS,HertenHeer Blond&Bitter Bier Fles 33cl,2.05
139,Grolsch,Blond,224926FLS,Grolsch Blond Fles 45cl,2.61
140,Coronita,Mexicaans bier,202445PAK,Coronita Extra Mexicaans Pils Bier Flessen 6 x 21cl,6.99
141,Straffe Hendrik,Quadrupel,211623FLS,Straffe Hendrik Brugs Quadrupel Bier II° Fles 33cl,2.35
142,Brand,Indian pale ale,275068PAK,Brand IPA 0.0 Alcoholvrij Bier Fles 6 x 30cl,5.5
143,Desperados,Mexicaans bier,223960PAK,Desperados Ginger Bier Fles 6 x 33cl,7.59
144,Brixton,Indian pale ale,226844BLK,Brixton Low Voltage IPA 33cl,1.99
145,Hoegaarden,Witbier,202823PAK,Hoegaarden Wit Belgisch Bier Blikken 6 x 33cl,6.45
146,The Wild Mill,Witbier,227466FLS,The Wild Mill Blond Fles 33cl,2.17
147,Desperados,Mexicaans bier,246175BLK,Desperados Original Bier Koud Blik 33cl,1.49
148,Troubadour,Blond,226914FLS,Troubadour Magma Fles 33cl,2.07
149,Stone,Indian pale ale,207684BLK,"Stone IPA Berlin Blik 0, 33L",1.99
150,Dors,Mexicaans bier,156195PAK,Dors Cerveza Flessen 6 x 330ml,3.79
151,Gulpener,Witbier,74641BLK,Gulpener Korenwolf Blik 50cl,1.31
152,Jumbo,Blond,201287FLS,Wilderen Goud Fles 33cl,1.59
153,Brouwerij 't IJ,Dubbel,172988FLS,Brouwerij 't IJ Natte 33cl,2.17
154,Stone,Indian pale ale,207683BLK,Stone Go To IPA Blik 330ml,1.99
155,St Feuillien,Tripel,193403FLS,St Feuillien Belgisch Abdijbier Tripel Fles 33cl,2.13
156,Lindemans,"Kriek, fruitbier",227492FLS,Lindemans Kriek Lambic Beer Fles 75cl,5.26
157,Kasteel,Tripel,163169FLS,Kasteel 11° Tripel Fles 33cl,1.57
158,Brand,"Witbier, Bier - Alcoholvrij",225012BLK,Brand Weizen 0.0 Alcoholvrij Bier Blik 33cl,0.99
159,Guinness,Indian pale ale,201270STK,Guinness Nitro IPA Blik 440ml,2.05
160,Jopen,Tripel,224084FLS,Jopen Trinitas Tripel Fles 33cl,2.18
161,Boon,Lambiek,226922FLS,Boon Oude Geuze Fles 375ml,2.69
162,Corona,Mexicaans bier,201277DS,Corona Extra Mexicaans Pils Bier Flessen 12 x 355ml,16.45
163,Oedipus,Saison,183280FLS,Oedipus Mannenliefde Saison Fles 33cl,2.18
164,Löwen Weisse,Weizen,35977BLK,Löwen Weisse Hefe-Weissbier Blik 500ml,1.29
165,Cuvée des Trolls,Tripel,207546FLS,Cuvée des Trolls Fles 25cl,1.29
166,De Koninck,Amber bier,213482FLS,De Koninck APA Antwaarpse Pale Ale Fles 330ml,1.51
167,Affligem,Dubbel,223962PAK,Affligem Dubbel Bier Fles 6 x 30cl,6.64
168,Brussels Beer Project,Indian pale ale,201281FLS,Brussels Beer Project Delta IPA Fles 33cl,2.65
169,St Feuillien,Blond,213383FLS,St-Feuillien Grand Cru 33cl,2.27
